name,descriptions,rel_aesthetics,key_colors,brands
Gorecore,"Red and black colors,
,Knife themed accessories,
,Sharp imagery,
,Spikes, studs, razor blades,
,SFX makeup,
,Red lipstick and eyeshadow,
,Pointed nails,Hair done in a Gorecore style is often dyed two different colours, split down the middle. It also makes use of gore and knife-themed hair accessories, such as a headband that makes it look like the wearer has a knife going through their head.
,
Gorecore clothing has punk and goth influences as well. ,A choker from Angry Young And Poor that has spikes and hanging razor blades.,A blood choker from SHEIN.,A earring set from Hot Topic that includes knifes, hearts, and some blood drops.,A gore sweater from H0neybear.,Skeleton sweater from Romwe.,
,Music,[,]","Balkan Violence Tumblr,Catholic Horror,Devilcore,Ero-Guro,Goth Punk,Grotesque,Gurokawa,Horror,Macaute,Meatcore,Necrotrap,Revcore,Vampire,Violencecore,Weirdcore",", black, white (sometimes)",
Golden Hour,,"After Hours,Cloudcore,Dreamy,Lo-Fi,Naturecore,Summer,Tropical,Warmcore,Vaporwave,VSCO",warm colors,
Goofcore,"Goofycore fashion is characterized by comically oversized clothing, brightly colored accessories, and circus-inspired details such as clown shoes or animal prints. The trend often incorporates childlike elements, such as cartoon character motifs or playful patterns.
,Media,[,]","Cartooncore,Clowncore,LOLcore,Ratcore,Randumb",Bright colors,
Gothcore,"Gothcore fashion takes the goth fashion and combines it with the ,metalcore, looks. Black skinny jeans and black t-shirt at the simplest of clothing choices. Optionally pale makeup and blacked out eyes or eyeliner are worn. For a female look, Misa Amane and for males Ryuk the shinigami from ,Death Note, are figures inspiration for a gothcore look. Goth, but make it ""modern"".
,A few examples are:
,combinations with fishnets, corsets, lace, chains and gloves,,
,gothic band-themed t-shirts or just regular ""goth-inspired"" t-shirts,,
,platform shoes,
,collars, lace chokers, spike necklaces,
,PVC/Vinyl Clothing,
,Darkened Eyemakeup,Music,[,]","Devilcore,Emo,Goth,Metalcore,Punk,Ragecore,Vampire,Witchcore",Any dark colors,
Gopnik,"A famous staple of the Gopnik style is that of Adidas-branded clothing. 
,Tracksuit,
,Adidas sneakers,
,Pointy leather shoes,
,Flat cap,
,Ushanka,
,A.U.E. (АУЕ - ,Арестантский уклад\устав един - Convict's/Prisoner's way of life/law is Unified,) tattoo,Music,[,]","Bombardier,Cani,Chav,Dizelaši,Dresiarz,Racaille,Gangsta Rap","Black, white, red","Adidas, Puma"
Golden Age of Detective Fiction,,"Old Money,Dark Academia,Gothic,Spy Fiction",,
Glam Rock,"Glam rock fashion includes but is not limited to:
,Glitter,
,Flashy and bright colored makeup,
,Deep V necks,
,Platform boots and shoes,
,Leather clothing and jackets,
,1970s fashion such as bell bottoms,
,Bodysuits paired with tights,
,Gem studded accessories,
,Shiny fabrics in bright colors,
,Long hair, often fluffed away from the face,
,Mullets,
,Bright patterns,
,Oversized and flowy stage wear,Music,[,]","Alternative,Androgynous,Britpop,Camp,Deathrock,Drugcore,Goth,Hair Metal,Metal,New Romantic,Post-Punk,Punk,Rock,Scene,Trad Goth,Vaporwave,Visual Kei",Any and all colors.,
Glowwave,"Glowwave fashion consists of any clothing that can either glow in the dark or is reactive to blacklights (aka glows under blacklight), and accessories are anything that can light up. Glowwave hair and make-up can also be glow in the dark or blacklight-reactive as well.  Light-Up/Glow in the Dark things such as Backpacks, shoes, nail polish, t-shirts, pants, jewelry, etc. are often utilized as part of the Glowwave aesthetic.  It's about being as bright and vivid as possible.  Other elements can include:
,Bright, vibrant colors,
,Pastels (since some pastel colors can show up some in UV light),
,Glow-in-the-dark nails, makeup, backpacks, shoes, etc.,
,Glowstick accessories,
,Baggy/vibrant shirts,
,Bright headbands,
,Brightly-colored shoes or boots,
,Brightly-colored hair that's been dyed with UV-reactive colors,Activities,[,]","Acidwave,Acid Pixie,Alien,Arcadecore,Biopunk,Cartelcore,Club,Cuddle Party,Cyberdelic,Cybergoth,Cyberpop,Cyberprep,Cyberpunk,Diner,Dokukawaii,Dreamy,Fanfare,Glitchcore,Heatwave,Hippie, ,Kidcore,Lo-Fi,Milleniwave,Nintencore,Nostalgiacore,Old Web,Party Animal,Poolcore,Psychedelica,Rainbowcore,Raver,Reefwave,Retro-Futurism,Scene,Seapunk,Slimepunk,Spacecore,Stripcore,Synthwave,Toxiccore,Trashy Raver,Vaporwave,Vintage",Neon Colors,
Goblin Academia,"Tops,[,],Loose blouses,
,Light blouses,
,Oxford shirts,
,Blousons,
,Jumpers,
,Camisoles,
,Sweater vests,
,Flannels,
,Sweaters,
,Turtlenecks,
,T-shirts,Bottoms,[,],High-waisted pants,
,High-waisted shorts,
,Worn or customized overalls,
,Ankle pants,
,Dress pants,
,Customized or worn jeans,
,Pleated skirts,Dresses,[,],Pinafores,
,Summer dresses,Outerwear,[,],Cardigans,
,Pea coats,
,Waistcoats,
,Aprons,Shoes,[,],Mary Janes,
,Chelsea boots,
,Dr. Martins,
,Rain boots,
,Combat boots,
,Hiking boots,
,Chunky lace up boots,Accessories,[,],Customized stone jewelry,
,Patterned and colorful socks,
,Belt satchels,
,Oversized glasses,
,Loosely tied ties,
,Leather satchel,
,Mismatched, unique socks,
,Alchemist pouches,
,Enamel pins,
,Pocket watches,
,Golden or silver rings,
,Polaroid cameras,
,Fanny packs,
,Backpacks,
,Tote bags,Media,[,]","Cottagecore,Dark Academia,Goblincore,Fairy Academia,Light Academia","earth tones, moss green, black, beige, brown, navy blue.",
Goblincore,"Goblincore fashion can involve any clothing that is suitable for adventure, but most goblincore fans like outfits with several clashing patterns/colors. Lots of the clothing is worn-out, thrifted, or second-hand for a more comfortable feel. Most goblincore fans enjoy getting dirty, so keeping their clothes fresh and clean isn't a top priority. Cozy Oversized Sweaters, worn-out or customized jeans and overalls, and unique socks are staples in goblincore fashion. These people like to wander around the woods and collect random objects that pique their interest. Since they love nature so much, Earthy colored clothes like brown or green fit them the best
,Goblins are often seen in dark green or brown clothes. Sometimes, they will also have belts with alchemists pouches or a satchel to store shiny objects.
,Criticism,[,]","Adventurecore,Cottagecore,Crackhead,Crowcore,Dragoncore,Earthcore,Miniaturecore,Mushroomcore,Green Academia,Naturecore,Soggy,Vulture Culture, ,Witchcore,Feralcore","Earth tones such as dark green, light brown, dark brown, dark lime, black, and navy blue. (Sometimes)",Studio Ghibli
Glitchcore,,"Anarchowave,Animecore,Hideakicore,Hyperpop,Mind Murder,Scene,Synthwave,Vaporwave","Neon colours, bright contrasting colours",
Global Village Coffeehouse,,"Bohemian,Corporate Memphis,Curly Girly,Eco-Beige,Flat Design,Grunge,Lowbrow,Memphis Design,Minimalism,Mission School,New Wave Tropical,Nouveau Organic,Pastel Southwestern,Soft Colonial Wanderlust,Utopian Scholastic,Vaporwave,Whimsicraft",,
Glassmorphism,,"Abstract Tech,Flat Design,Frutiger Aero,Holo,Neumorphism, (subgenre),Neubrutalism,Skeuomorphism","White, Purple, Blue, Pink","Apple, Microsoft, Figma"
Glamorous Los Angeles,,"Bubblegum Bitch,Boujee,Baddie,Femme Fatale",,
Glam Girl,"Materials,[,],Silk,
,Satin,
,Fur,
,Glitter,
,Rhinestones,Clothing,[,],Evening gowns,
,Fur coats,
,Boots,
,Towel hair wraps,
,Stilettos,
,Accessories,[,]","Baddie,Boujee,Cherry Emoji Twitter,Chic Modernist,Femme Fatale,Pearly",,
Gen Z Maximalism,"Maximalist fashion has more overlap with ,Decora, and ,Kidcore, than its graphic and interior design counterparts, but other than that it's more or less the same, with colorful, cluttered themes. However, Maximalist fashion tends to lean more towards ,Kidcore, when it comes to its choice of a primary color palette. In contrast, Maximalism seems to learn more towards clutter in clashing and contrasting saturated colors throughout the outfit, as opposed to clutter in the sheer volume of accessories often found in ,Decora,. Another stark difference between the two is Decora's primary focus on fashion, and Maximalism's primary focus on graphic and interior design. Note the overlap between the two does mean many decora outfits can also fall under the category of maximalism fashion, and vice versa. This can open up a portal to introduce fans of certain aesthetics to similar ones they may also enjoy, but please remember to only tag your posts with relevant hashtags. No one's looking for a picture of your cat under ,#Animeglassart.,
,Carlita Landrum on instagram,@diana_rikasari on Pinterest,@Sydn3yl3vy on Pinterest,References,[,]","Decora,Dopamine,Home 2K,Kidcore,Memphis Design,LOLcore,Scene","All of them, but highly saturated",Hot Topic
Girl-Next-Door,"The most distinctive feature is the fluffy silhouette of the outfits and a cute atmosphere. The colors and designs make it look feminine at a glance, with pastel colors such as pink being the main focus. There are many designs featuring ribbon, ruffles, and lace, and even when sneakers are worn, they are in floral patterns, and the shoelaces are pink.
,Floral dress,
,Cropped cardigan,
,Ruffled top,
,Soft-tee,
,Flowy skirt,
,Peep-toe heels,
,Ballet flats,
,Boot-cut jeans,
,The color pink,
,Overalls,
,Plush shoulder bags,
,Pastel sweaters,Media,[,]","2014 Tumblr,Americana,Girly Girl,Larme Kei,Nymphet,Princesscore,Softie,VSCO","Light blues, pinks, yellows, whites, purples and pastels in general.",
Ghostcore,"Ghostcore fashion can be open to the interpretation and comfort to any individual, as this is not a fashion-centric aesthetic. However, the community has been open in discussing various fashion tastes and intrigues which include:
,Flowing, lightweight gowns and fabrics
,Typically in white or black,
,Suits and formalwear as if attending a funeral,
,Vintage and Victorian-esque fashions,
,Hoodies,
,Comfy socks,
,Sneakers,
,Military boots,
,Leggings,
,White sheets,Media,[,]","Coffinwood,Cottagegore,Cryptidcore,Dark Naturalism,Dullcore,Ethereal,Goth,Goblincore,Gloomcore,Horror,Voidpunk,Weirdcore","Black, white, muted natural colors",
Girl Crush,"Girl Crush fashion in K-Pop embraces a bold, edgy, and confident style that complements the overall concept. It combines elements of streetwear, high fashion, and unique aesthetics to create a distinct look.
,Techwear,
,Checkered patterns,
,Harnesses,Clothing,[,],Leather jackets,
,Crop tops,
,Shorts,
,Mini skirts,
,Wide pants,
,High socks,
,Boots,
,High heels,
,Bucket hats,
,Baseball caps,
,Chokers,Music,[,]","Hallyu,E-Girl,Tomboy,Techwear,Alternative","Black, pink, purple, red",
Girly Girl,"Girly girl fashion refers to a style that embraces femininity, softness, and a youthful aesthetic. It often incorporates elements such as floral patterns, pastel colors, ruffles, lace, bows, and other delicate details. Girly girl fashion emphasizes a sweet and romantic look, with an emphasis on dresses, skirts, and feminine silhouettes.
,Some key characteristics of girly girl fashion include:
,Dresses and skirts: Girly girls often gravitate towards dresses and skirts as their go-to clothing choices. These pieces are typically flowy, with flared or A-line shapes, and may feature floral prints or lace accents.,
,Pastel colors: Soft, pastel hues such as pink, lavender, mint green, baby blue, and lemon yellow are commonly associated with girly girl fashion. These colors evoke a gentle and feminine vibe.,
,Frills and ruffles: Girly girl fashion embraces frills and ruffles as decorative elements. They can be found on sleeves, hemlines, or collars, adding a touch of playfulness and femininity to the outfits.,
,Cute accessories: Girly girls often accessorize their outfits with bows, ribbons, headbands, and floral hair accessories. These details enhance the overall girly and youthful look.,
,Feminine footwear: Girly girl fashion incorporates feminine footwear choices such as ballet flats, Mary Janes, kitten heels, or sandals with dainty embellishments. These shoes complement the overall aesthetic and add a touch of elegance.,Media,[,]","2014 Tumblr Girly Girl,Barbiecore,Bimbo Casual,Bimbocore,Bubblegum Bitch,Bubblegum Coquette,Coquette,Curly Girly,Cyber Stylin',Dollette,French Girly,Girly (Japanese),Kawaii,Key West Kitten,Larme Kei,Lolita,Pink Pilates Princess,Pink Princess,Shoe Diva,Softgirl,Sweet Lolita,Teenqueen,Tomboy,Triple Chic,Tweencore",Pastel colors and pink tones,"DÔEN, Lululemon, Temu, H&M, LoveShackFancy, Primark"
Gen X Soft Club,,"Breakcore,Britpop,Cybercore,Flat Design,Frutiger Aero,Global Village Coffeehouse,Holosexual,Lo-Fi,Metalheart,Millennium Disco,Minimalism,Milipili,MTV Green Sky,Neubrutalism,Raver,Renewable Corporate Futurism,Supergraphic Ultramodern,Technozen,Urbancore,UrBling,Vectorheart,VH1 Sepia Sky,Zen-X","natural and muted colors such as greens, blues, beiges, tans and greys/black.",
Gesugao,,"Animecore,DarkErrorcore,Devilcore,Horror,Ragecore,Vampire,Violencecore,Yandere","Black, grey, white, red",
Gardencore,,"Bloomcore, subgenre,Goblincore,Green Academia,Soggy,Groundcore,Fairycore,Tinycore,Salvagepunk","Earthy tones (green, blue, brown, beige, orange, yellow)",
Geek,,"Animecore,Cartooncore,Fantasy,Game Night,Kidcore,Nerd,Normcore,Weirdcore","Any colors, usually blue, red, and gray in particular",
Gamercore,,"Cyberdelic,Internet Awesomesauce,Kawaii Gamer,Nintencore,Nostalgiacore,Sega Uranus,7 HD","grey, green, black, pastel colors",
Girly Kei," 	, 	, 	, 		 			, 		 		 		 	, ,Japanese Girly Kei fashion takes some cues from general ,kawaii, and ,lolita, fashion, with some preferring it as a somewhat more casual or minimal alternative to more extreme lolita outfits. The goal is to appear cutesy and feminine, but in a preppy manner. Many of the current trends within the style are derived from Ryousangata girly trends that originated on social media (such as TikTok), and ,Japanese Idol culture, has pushed Girly Kei's evolution into a more hyper-feminine and innocent direction.
,Blouses are the most common top in Girly Kei fashion. Usually these tops are high-neck, peter-pan collared embellished with ruffles, lace, and ribbon embellishments. Sometimes pom-pom capes are added. In the wintertime, sweaters can be adorned with decorative stitching, ribbons and typical girlish embellishments. Bottoms are most commonly skirts, usually high waisted with decorated hems. Sometimes petticoats are added underneath to increase volume. Rarely, frilly shorts and skorts are worn. Bottoms can be swapped with dresses or coat-dresses of any length. Girly Kei mostly incorporates multi-strap Mary-Janes or sometimes loafers, both platformed. These are paired with lace or frilled socks or stockings. 
,Girly Kei makeup follows more mainstream Jfashion trends emphasizing a ""natural"" youthful look with soft blush, low contour and lipstick with faded edges. However, it is not uncommon for the eyes to be largened and exxagerated to give a more doe-like, teary-eyed appearance. This follows the ""pien"" makeup trend on Japanese tiktok, and occasionally even the more sickly red-eyed byojaku trend. Hairstyles are also variable, and it's seen as trendy to to curl the ends. Naturally, Girly Kei fashion makes use of jewelry, but may restrain them to traditional necklaces, bracelets and earrings with hair accesories.
,Similar to ,Lolita,, the broad nature of Girly Kei as a fashion has allowed it to develop multiple substyles, including but not limited to ,French Girly,, Dark Girly, Casual Girly, Otona (mature) Girly, Natural Girly, Sweet (kawaii) Girly, etc.  Because of its adjacency with the Dark Girly substyle, ,Jirai Kei,'s fashion part is often considered a substyle of both Dark Girly and Yami Kawaii, and similar to it, there is also many other styles such as ,Melodycore, that have been influenced by Girly fashion.
,Media,[,]","Dollcore,French Girly,Girly Girl,Girl-Next-Door,Gyaru,Jirai Kei,Kawaii,Kuromicore,Larme Kei,Lolita,Melodycore,Mote Kei,Wota,Softie",Depends on the substyle,
Gamine,"Gamine clothing should have a clean shape with small-scale details. Clothing may have playful or creative patterns; however, people wearing these patterns do not look like children.,[2],
,Tops,[,],Button down shirts or blouses, typically in pastel or white,
,Graphic t-shirts,
,Polos, typically in pastel,
,Striped sailor shirts, typically red-white or blue-white,
,Crewneck sweaters,
,Turtlenecks,Jackets,[,],Short cardigans,
,School-girl blazers,
,Hoodies,
,Trench coats,
,Wide-collar coats,
,Capes,
,Peacoats,Bottoms,[,],Pants,[,],Dark blue jeans,
,Black denim,
,Denim shorts,
,Capris,
,Ankle-length pants,Skirts & Dresses,[,],Gamine skirts can be mini, knee-length, or midi. They should be made of tulle or another flowing fabric. Sailor skirts and bubble mini-skirts also work for this style.
,Gamine dresses include baby-doll dresses and little black dresses. Dresses might have bows and/or ruffles.
,Accessories,[,],Accessories that fit gamine tend to be small and compact.,[3],
,Footwear,[,],Ankle boots,
,Ballet flats,
,High-top sneakers,
,Kitten heels,
,Loafers,
,Sandals (light colors)
,Cork-heel platform sandals,
,Slingback wedge sandals,Hats,[,],Beret,
,Balloon hat,
,Straw sunhat,
,Striped knit hat,Jewelry,[,],Analog watch,
,Charm bracelet,
,Pearls,
,Small earrings,
,Small rings with small stones,Hair,[,],Pixie cuts are extremely common. When hair is worn down, it tends to be pulled back by a headband or head scarf. In terms of hair accessories, gamines might wear flower barrettes or bows.
,Media,[,]","Androgynous,Flapper,Tomboy",,
Gangsta Rap,"This aesthetic can be described as very gloomy or dark variation of the Hip-Hop style. Enthusiasts of this aesthetic take these factors into account:
,Baskeball Shirts,
,White T-Shirts,
,Baggy Clothing,
,Humble Dress Styling,
,Golden Chains and Rings,
,Hoodies,
,Sport Shoes,
,Baseball Caps, typically ones with the New York Yankees logo called ""Yankees"". Sometimes, these are even worn without a brim.,
,Media (Movies, TV Series, Games, Etc),[,]","Cani,Cartelcore,Chav,Drugcore,Gangstas with Waifus,Gangstæxtemism,Gopnik,Grindhouse,Hip-Hop,R&B,Riotwave,Shiny Suit 97, (successor),Stripcore,Urbancore,UrBling,West Coast Hip-Hop","Black, Red, Blue, Green, Brown, Grey, White",
Gangstæxtemism,,"Dollar Store Vernacular,Gangsta Rap,Hip-Hop,Moe Swag,Trillwave,Urbancore",Highly saturated colors of all sorts,
Gadgetpunk,"Gadgetpunk fashion is composed of devices that are often compressed, multipurpose, or can replicate the functions of large and specialized machines. Gadgets can either be cobbled together from spare parts and scraps or purposely built in lab settings.
,
,Gallery,[,]","Animecore,Cartooncore,Cyberpunk,Junkpunk,Science Academia,Steampunk,Tinkercore",,
Futurism,"Futurist fashion (also known as ""fashion forward"") involves wearing 
things that will soon become very fashionable. It usually strays away 
from normal trends in order to create a new one (i.e. avant-garde).
,Music,[,]","Aeropittura,Art Deco,Cubism,Cyberpunk,Cyberprep,Cyberparadism,Modernism,Socialist Realism,Surrealism,Vorticism,Zenitism",,
Furry,"Furry fashion is, essentially, just a giant fursuit that wouldn't look out of place running around at an amusement park. However, what the fursuit looks like is, quite literally, up to the person's imagination (and it is usually based on their fictional avatar in the community, referred to as a ""fursona"") and it will often be made by people skilled in the art of tailoring.
,Also, contrary to popular belief, only a very small minority of furry enthusiasts actually do fursuiting (in part due to the high cost of commissioning a fursuit).
,Fursuit Tailors,
,Lemonbrat,
,2 Stupid Furs,
,Hidden Treasury,
,Beetlecat,
,http://web.archive.org/web/20160408160516/http://www.fluffymischief.com/,
,Fursuiting.com,
,Kildoco,
,Made Fur You,
,Beastcub,
,Stuffed Panda Studios,Music","Kidcore,Juggalo","Pastel, bright colours","Lemonbrat, 2 Stupid Furs, Hidden Treasuring, Beetlecat, Mischief Makers, Fursuiting.com, Kildoco, Made Fur You, Stuffed Panda Studios, Beastcub"
Funwaacore,,"Arabfunny,Deep Fried Meme,Dollar Store Vernacular,Grażynacore,Kidcore,Old Memecore,Old Web,Skeuomorphism","Neon colors: yellow, cyan, orange, pink, red, blue",
Gachimuchi,"The fashion associated with Gachimuchi could be described as flamboyant or 'over-the-top'. It often parodies traditional wrestling attire, as well as ,bondage, fashion. Participants of the Gachimuchi subculture often dress in costumes that emphasize exaggerated masculinity and sexual elements. The colours typically used include black and sometimes white accents. , , Some common fashion elements seen in Gachimuchi include:
,Masculine leotards,
,Singlets,
,Wrestling boots,
,Wristbands,
,Armbands,
,Belts,
,Spiked collars,
,Black leather pants,
,Bondage, elements,
,Revealing clothing,Media,[,]","BDSM,Boy Next Door,Camp,MLG,Pin-up","Black, white",
Future Funk,"Fashion-wise, Future Funk has a lot of overlap into Kawaii Gamer, but while Kawaii Gamer is largely feminine-coded, Future Funk is a little more gender-neutral and incorporates elements of anime streetwear, 70's disco wear, and even some 90's raver fashion (although not as day-glo and neon as that can tend to be).  Common clothes include:
,Anime t-shirts,
,Bucket Hats,
,Beanies,
,Sweatshirts/Sweatpants,Gallery,[,]","Animecore,Arcadecore,City Pop,Cyberfunk,Disco,Kawaii,Kawaii Gamer,Moe Swag,New Wave,Nintencore,Nostalgiacore,Synthwave,Vaporwave","Pink, blue, cyan, purple, yellow",
Game Night,,"Casino,Cuddle Party,Geek,Kidcore,Nerd,Nostalgiacore,Party Animal",,
Gabber,"Gabber fashion was extremely iconic and easy to recognize back in the 90s,[1],. The clothing worn by Gabbers was usually oversized and designed to be as comfortable,[2], as possible, given the energetic nature of Hakken dancing and other aspects of ,Rave culture,. Some common characteristics of Gabber fashion are:
,Tracksuits,
,Bomber jackets,
,Australian L'Alpina,
,Nike Air Max shoes,
,Hoodies,
,Baggy pants,
,Baseball caps,
,Bandanas,
,Sunglasses,
,Shaved head (masculine),
,Braided hair and shaved sides on the head (feminine),
,Thunderdome logo tattoos,
,Distinctive patterns in clothing,Music,[,]","Bakala,Belgian New Beat,Breakcore,Club,Dizelaši,Gopnik,Raver",,
Sentimentalism (Galician),,"Avant-garde,New Figuration","Black, white, red",
French Provincial Style,,"Cottagecore,Country,Rusticcore,Triple Chic,Tuscan Rustic","White, beige, cream, taupe, grey, gold, bronze",
Funky Seasons,,"Bright Tertiaries,Corporate,Dollar Store Vernacular,Figuration Narrative,Flat Design,★,Frutiger Aero,Frutiger Metro,McBling,Nintencore,Old Web,Pop Art,★,Superflat Pop,Technozen,UrBling","Electric Lime, Sky Blue, Hot Pink, Neon Orange (Primary)","Apple, Sony, Nintendo, Most Japanese consumer brands"
Frutiger Aurora,,"Abstract Tech,Auroracore,Cybercore,Cyberprep,Dark Aero,★,Frutiger Aero,Frutiger Metro,Hexatron,Holosexual,Metalheart,Vectorflourish,Vectorgarden",,"Microsoft, Sony, Samsung"
Frutiger Eco,,"Abstract Tech,Bright Tertiaries,Cleancore,Corporate,Cybercore,Cyberparadism,Cyberprep,Dark Aero,DORFic,Dreamcore,Dreamy,Ethereal,Fotonight Web,★,Frutiger Aero,Frutiger Metro,Helvetica Aqua Aero,Hexatron,Imaginarium,Metalheart,Naturecore,Renewable Corporate Futurism, (subgenre),Solarpunk,Vectorflourish,Vectorgarden,Zen Tranquility,2K7","Green, Teal, White, Blue, Yellow",Various cleaning brands
Frutiger Metro,,"Blingeecore,Bright Tertiaries,Bubblegum Dance,Cheiron Crush,Corporate Memphis,Cyberprep,Cyber Stylin',Dark Aero,DORFic,ElectroPop 08,Emo,Flat Design,Frutiger Aero, (adjacent),Frutiger Aurora,Frutiger Eco,Funky Seasons,Helvetica Aqua Aero,Hipness Purgatory,Holo,Imaginarium,McBling,Memphis Design,Musica Metro, (subgenre),Nintencore,Raver,Scene,Shibuya Punk,Skeuomorphism,Stickerbomb,Superflat Pop,Teenpunk,Tropical Disco,UrBling,Vectorbloom,Vectorflourish,Vectorgarden, (subgenre),Vectorheart,Word Cloud,2010s Internet,2K7",Rainbow,"Microsoft, Skype, Myspace, Orkut, Hasbro, Nickelodeon"
Frogcore,"Tops,[,], 	, 	, 	, 		 			, 		 		 		 			,Buy it ,here,., 		 	, ,Froggy hoodies,
,Raincoats,
,Froggy poncho,
,Green sweaters,
,Turtlenecks,
,Sundresses,
,House dresses,Bottoms,[,],Rain pants,
,Overalls,
,Shorts,
,Pinafores,Outerwear,[,],Rainboots,
,Frog slippers,
,Swimsuits,Accessories,[,],Froggy backpacks,
,Basically anything nice looking that is frog/toad-themed goes.,
,Small jewellery (preferably froggy/floral themed),
,Anything green,
,Frog hat,
,Umbrella,Media,[,]","Goblincore,Naturecore,Rainy Day,Soggy","Green, brown, yellow, white, sage and light red",
Frutiger Aero,,"Abstract Tech,Anime New Moon,Breakcore,Bright Tertiaries, (adjacent),Captchacore,Cheiron Crush,Chromecore,Cleancore,Corporate,Corporate Memphis,Cybercore,Cyberparadism,Cyberprep,Dark Aero, (subgenre),Dollar Store Vernacular,DORFic, (subgenre),Dreamcore,ElectroPop 08,Flat Design,Fotonight Web, (meme),Frutiger Aurora, (subgenre),Frutiger Eco, (subgenre),Frutiger Metro, (adjacent),Funky Seasons, (subgenre),Gamercore,Gen X Soft Club,Glassmorphism,Helvetica Aqua Aero, (subgenre),Hexatron,Holo,Holosexual,Home 2K,Hyperpop,Icepunk,Imaginarium,Indie Sleaze,Liminal Space,McBling,Memphis Design,Minimalism,Minivan Rock,Musica Metro, (,Frutiger Metro, subgenre),Neumorphism,Nintencore,Nostalgiacore,Old Web,PC Music,Rainbowcore,Renewable Corporate Futurism, (,Frutiger Eco, subgenre),Robotcore,Seapunk,Shibuya Punk,Skeuomorphism,Solarpunk,Superflat Pop,Surf Crush,Technoneko2000,Technozen, (subgenre),Trillwave,Tropical,UrBling,Vaporwave,Vectorbloom,Vectorflourish,Vectorgarden, (,Vectorflourish, subgenre),Weirdcore,Xpiritualism,Zen Tranquility,2010s Internet,2K1,2K7","Blue, Green, Yellow, White, Orange, Fuchsia",Most tech companies between c. 2004-2013
Fotonight Web,,"Arabfunny,Bright Tertiaries,Digital Oddity,Dollar Store Vernacular,Dreamcore,★,Frutiger Aero,Frutiger Eco,Helvetica Aqua Aero,Imaginarium,Sextrance,★,Shanzhai,Skeuomorphism,Weirdcore,★,Xpiritualism,Zen Tranquility","Blue, Green, Yellow, White, Orange, Fuchsia","Apple, Disney, Microsoft, Chinese knockoffs of established brands"
French It Girl,"Clothes,[,],Berets,
,Silk scarves,
,Black bras,
,Black tights,
,Striped t-shirts,
,Vintage or vintage inspired graphic t-shirts,
,White button-down shirts,
,Satin slip dresses,
,Floral print cotton dresses— usually red with white flowers,
,Leather jackets,
,Leather skirts,
,Skinny jeans,
,Matchstick pants,
,Loafers,
,Ballet flats,
,Ankle boots,
,Ahite sneakers, 	, 	, 	, 		 			, 		 		 		 			,Taylor Lashae's iconic bob hairstyle, 		 	, ,Makeup and Hair,[,],Red lipstick,
,Bob haircut,
,Shoulder length hair with bangs (the key to French It Girl hair is that it looks slightly wind-ruffled),
,Natural makeup or no makeup at all,Stores,[,],Alexandre Vauthier,
,Amantine,
,AMI Paris,
,A.P.C.,
,Atelier Camille,
,Balzac Paris,
,Ba&sh,
,CELINE,
,Chloé,
,Claudie Pierlot,
,Comptoir Des Cotonniers,
,Éric Bompard,
,Ernest Leoty,
,Gaâla,
,IRO,
,Isabel Marant,
,Jacquemus,
,Keur Paris,
,Lanvin,
,Lemaire,
,Loulou Studio,
,Maison Michel,
,MaisonCléo,
,Maje,
,Marie Marot,
,Monoprix,
,Musier Paris,
,Pierre Hardy,
,Princess Tam Tam,
,Repetto,
,Roseanna,
,Rouje,
,Sandro,
,Saint James,
,Sézane,
,The Kooples,
,Veja,
,Sezanne,
,Zadig & Voltaire, 	, 	, 	, 		 			, 		 		 		 			,Villanelle in Paris (Killing Eve, 2018-2022), 		 	, ,Food and Drinks,[,]","Chic Modernist,Indie,New Spanish Catholic Girl,Yé-yé Girl",,
French Girly,"As the fashion part of the aesthetic is derived from ,Japanese Girly fashion,, it closely follows its typical silhouette while also integrating elements associated with parisian fashion, such as:
,Berets,
,Tweed fabric,
,Floral lace,
,Houndstood or plaid patterns,
,Blouses with a large tied neck bow,
,Gold and pearl accents,
,Quilted handbags,
,Pumps,Media,[,]","Girly (Japanese),Larme Kei,Pink Parisian,Rococo,Jirai Kei","Pink, beige, white, black",Epine
Folk Punk,"Folk punk fashion is closely related to the fashion of ,crusties,, with many folk punks wearing battle jackets with patches and pins and looking like typical punks. Another common folk punk fashion choice is farmer clothes that have a dirty, plain and a crusty look for them, that are usually colored very muted colours like light brown or gray. Accompanying this farmer look is usually very minimal makeup or scraggly looking facial hair.  Flatcaps, baseball caps and trucker caps are common headwear for folk punks as well, with many choosing to customise them with pins and patches. Beanies are also a common headwear for folk punks. Some folk punk artists also dress in normal everyday clothing.
,
						
	,
		,
			Categories			,		,
		,
							
,
	,
		,
			,Categories,: ,
						,
	,Punk Suffix,
	,
,
			,
	,Music,
	,
,
			,
	,Tan,
	,
,
			,
	,Brown,
	,
,
	
					,
			,
	,
					,
	,
						
														,
		Community content is available under ,CC-BY-SA, unless otherwise noted.	,
						
											,
		
,
	,
				,
		,
,
		,
		,Advertisement,
	,
	,
		,
			,Fan Feed			,
			,
		,
	,
","Music,Punk,Hippie,Aesthetics and fashion,Crustpunk,Punk,Forestpunk,Hipster,Ukrainian New Wave,Goblincore","Earthly colors like gray and brown, Black, White",
